City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
80,Mangrol,IN,21.1167,70.1167,68.41,74,2,7.61,clear sky
81,Clyde River,CA,70.4692,-68.5914,-30.77,75,100,3.44,overcast clouds
82,Iracoubo,GF,5.4802,-53.2011,75.63,89,81,12.35,broken clouds
83,Lebu,CL,-37.6167,-73.65,57.65,85,0,17.87,clear sky
84,Thompson,CA,55.7435,-97.8558,-3.84,77,0,9.22,clear sky
85,Toktogul,KG,41.8708,72.9402,27.16,88,94,1.61,overcast clouds
86,Waddan,LY,29.1614,16.139,45.88,66,56,8.32,broken clouds
87,Bambous Virieux,MU,-20.3428,57.7575,80.22,89,40,9.22,light rain
88,San Cristobal,VE,7.7669,-72.225,71.78,77,64,1.39,broken clouds
89,Pop,UZ,40.8736,71.1089,39.69,62,7,5.61,clear sky
90,Kununurra,AU,-15.7667,128.7333,96.78,34,78,4.61,broken clouds
91,Chuy,UY,-33.6971,-53.4616,68.13,81,2,2.64,clear sky
92,Asau,RO,46.4333,26.4,22.12,89,72,4.76,broken clouds
93,San Patricio,US,28.017,-97.5169,71.46,85,80,16.53,broken clouds
94,Santa Ines,BR,-3.6667,-45.38,73.27,97,100,3.31,overcast clouds
95,Port Lincoln,AU,-34.7333,135.8667,72.41,62,0,11.21,clear sky
96,Elda,ES,38.4778,-0.7916,44.38,89,100,5.7,overcast clouds
97,Morondava,MG,-20.2833,44.2833,77.45,84,98,14.56,overcast clouds
98,Hamilton,US,39.1834,-84.5333,42.44,65,100,11.5,overcast clouds
99,Evensk,RU,61.95,159.2333,-14.75,78,59,7.99,broken clouds
100,Khatanga,RU,71.9667,102.5,-41.87,100,81,1.5,broken clouds
101,Viransehir,TR,37.2353,39.7631,39.25,91,100,13.27,overcast clouds
102,Mnogovershinnyy,RU,53.9353,139.9242,-4.09,85,84,1.81,broken clouds
103,Buchanan,LR,5.8808,-10.0467,77.45,90,93,6.02,overcast clouds
104,Newport,GB,51.5877,-2.9984,37.94,94,96,2.06,overcast clouds
105,Nome,US,64.5011,-165.4064,3.16,78,0,0.0,clear sky
106,Puerto Ayora,EC,-0.7393,-90.3518,79.56,91,12,8.99,few clouds
107,Vardo,NO,70.3705,31.1107,35.58,87,40,31.07,scattered clouds
108,Barrow,US,71.2906,-156.7887,-14.78,84,100,6.91,overcast clouds
109,Tosya,TR,41.0155,34.0401,25.93,86,100,10.87,light snow
110,Unity,CA,52.4501,-109.1682,24.22,84,33,8.3,scattered clouds
111,Dingle,PH,10.9995,122.6711,82.38,75,97,13.15,overcast clouds
112,Jimo,CN,36.3897,120.4622,38.98,81,75,2.24,mist
113,Takapau,NZ,-40.0333,176.35,73.72,48,14,6.76,few clouds
114,Mahebourg,MU,-20.4081,57.7,80.26,89,40,9.22,light rain
